Index,smiles,logt,Unnamed: 3
TR329,CC(C)OC(=O)C1=CC(NC(=O)C2=CC=CC(=C2)C2=C(CN)C=CC(=C2)C(=O)NC2=C(F)C=NC=C2)=CC=C1,0.5337600200199346,
TR62,CCOC(=O)c1ccc(cc1)N=NN(C)C(=O)NCCc1ccc(O)c(O)c1,0.8078760152011434,
TE93,C[C@H](C(=O)OCCn1ccnc1)c2ccc(c(F)c2)c3ccccc3,0.7502785558405847,
TE120,CCCOC(=O)C1=C(C)CS[C@@H]2[C@H](NC(=O)COc3ccccc3)C(=O)N12,0.6587245495580809,
TR30,COc1cc(NC(C)CCCNC(=O)Oc2ccc(Cl)cc2)c2ncccc2c1,0.5437864299669306,
TR378,CC(C)NCC(O)COC(=O)c1ccc(C)cc1,0.3877199407955062,
TE37,CC1(C)O[C@@H]2CC3C4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)SC1CCOC1=O,0.3535828945384631,
TE90,CCC[C@@H]1O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)S[C@H]6CCOC6=O,0.3535828945384631,
EX20,CCOC(=O)C1(c2nc3c(OC)ccc(-c4ccc5c(c4)COC5=O)n3n2)CC1,0.4387519176227418,11.0
TR335,O=C(C1=CC(O)=C(C(O)=C1)O)OC2=C(OC)C=C(CCC)C=C2,0.6923172672604024,
TR450,CC[C@@]1(O)C(=O)OCC2=C1C=C3N(Cc4c3nc5ccc(O)cc5c4[Si](C)(C)CCCCl)C2=O,0.5887065780486835,
TE3,COCCOC(=O)c1cccc(c1)-c1cc(ccc1CN)C(=O)Nc1ccncc1,0.4460776069089019,
TR330,CC[C@H](C)OC(=O)C1=CC(NC(=O)C2=CC=CC(=C2)C2=C(CN)C=CC(=C2)C(=O)NC2=C(F)C=NC=C2)=C(F)C=C1,0.5453113001194643,
TE123,COC(=O)c1cc(N)c(Nc2ccc(C#N)cc2)cc1Oc1c(C)cc(/C=C/C#N)cc1C,0.9594885504219426,
TR445,COc1cc(C(C)C)c2C(=O)N(COC(=O)c3c(Cl)ccc(c3Cl)S(=O)(=O)N(C)CCN(C)C)S(=O)(=O)c2c1,0.6466765581467786,
TE112,CC(C)[C@H](NC(=O)c1ccc(cc1)C(=O)N2CCOCC2)C(=O)N3CCC[C@H]3C(=O)N\C(=C(\OC(=O)C)/C(F)(F)C(F)(F)F)\C(C)C,0.5078721712681064,
TE82,CN1C(CCCC(=O)OCCN2CCOCC2)=NC2=CC=C(C=C12)N(CCCl)CCCl,0.5519505861434911,
TR391,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)OCS(=O)C)O,0.2068382731253776,
TR464,COc1cc(/C=C/C(=O)OCCCN(C)CCCCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,0.5495217932815257,
TR115,CC(C)OC(=O)\C=C\[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](Cc1ccc(F)c(F)c1)N1C=CC=C(NC(=O)c2cc(C)on2)C1=O,0.7728754505296989,
TR228,CC(C)C(=O)Oc1ccc2C[C@H]3N(CC4CC4)CC[C@@]56[C@@H](Oc1c25)C(=O)CC[C@@]36O,0.5065142011737471,
TR236,CN(C)CC(=O)OC[C@H]1O[C@H](C=C1)N2C=C(C)C(=O)NC2=O,0.5232222452737235,
TR8,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)C(S[C@@H]3CN[C@@H](C3)C(=O)N(C)C)=C(N2C1=O)C(=O)OCOC(=O)OC1CCCc2ccccc2C1,0.500852080482288,
TR90,OC[C@@H](O)[C@@H](O)[C@H](OC(=O)c1nn(Cc2cc(Cl)cc(Cl)c2)c2ccccc12)[C@H](O)CO,0.7324369669365997,
TR483,CCCCCOC(=O)C[C@H](NP(=O)(CO[C@H](CF)Cn1cnc2c(N)ncnc21)Oc1ccccc1)C(=O)OCCCCC,0.6147762515562274,
EX7,CC(C)OC(=O)[C@H](C)N[P@@](=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)Oc1ccc(C[C@H](NC(=O)OCc2ccccc2)C(=O)OC2CCCC2)cc1,0.7103666182334765,277.0
TR470,COc1cc(/C=C/C(=O)OC[C@H](C)CN(C)CCCCCOC(=O)c2cc(OC)c(OC)c(OC)c2)cc(OC)c1OC,0.5203679951075451,
TR339,OC1=CC(=CC(O)=C1O)C(=O)OC1=CC=C2C=CC(=O)OC2=C1,0.6708566911237536,
TE27,CC(=O)Oc1ccccc1C(=O)OCCCO[N+]([O-])=O,0.3032496133077109,
TR177,O=C(OCn1ncc2c1N=CNC2=O)c1cccc(Cn2ccnc2)c1,0.3447123488815876,
TR141,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(Cc3cc4cc(O)ccc4nc13)C2=O,0.482975304248936,
TR319,CC(CN1CCCC1)OC(=O)CCCC1=NC2=CC=C(C=C2N1C)N(CCCl)CCCl,0.5472321207316967,
TR44,COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(=O)OCc3ccc(OC(=O)OCCC(C)(C)C)cc3)c2c1,0.7545213445228346,
TR43,COCCOc1nc2N(Cc3cccc(CC(=O)OC)c3)C(=O)Nc2c(N)n1,0.2651959392387734,
TR74,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)C1CC1,0.2279970166547961,
TR168,C[C@H]1CC2C3CC[C@](O)(C(=O)COC(=O)c4cccc(CN(C)CCN(C)C)c4)C3(C)CC(O)C2C2(C)C=CC(=O)C=C12,0.480214653165945,
TR332,COC(=O)C1=CC(C(=O)NC2=CC=CC(=C2)C2=C(CN)C=CC(=C2)C(=O)NC2=C(F)C=NC=C2)=C(F)C=C1,0.5711356316212916,
TR67,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)c1ccc(C)cc1,0.3020936365788075,
TR12,NCc1ccc(cc1-c1cccc(c1)C(=O)OCC1CCC1)C(=O)Nc1ccncc1F,0.4528165877490254,
TR376,CC(C)NCC(O)COC(=O)c1cccc(F)c1,0.4119405606518588,
TE29,CC(=O)Oc1ccccc1C(=O)OCCN(CCO[N+]([O-])=O)CCO[N+]([O-])=O,0.2448919471943151,
TR355,C[C@@H](C(=O)OCC(=O)N(C)C)c1ccc(c(F)c1)c2ccccc2,0.2448919471943151,
TR209,COC(=O)[C@H](Cc1ccc(OC(=O)C)c(OC(=O)C)c1)NC(=O)CC(=O)N[C@@H](Cc2ccc(OC(=O)C)c(OC(=O)C)c2)C(=O)OC,0.4218569870525492,
TR422,Oc1c(CN2CCCC2)cc(CC(=O)OCc3ccc(cc3)[N+](=O)[O-])cc1CN4CCCC4,0.3904805918784972,
TE13,CC(C)(C)CCOC(=O)Oc1ccc(COC(=O)Cc2ccccc2Nc2c(Cl)cccc2Cl)cc1,0.7317277472945768,
TE9,CCOC(=O)c1ccc(cc1)N=NN(C)C(=O)[C@H](Cc1ccc(O)cc1)NC(C)=O,0.722305118878024,
TR396,CC(NCC(COc1ccc(CC(OC2CC3CC(C3(C)C)C2C)=O)cc1)O)C,0.7037288908311176,
TR84,CCOC(=O)C(CC(C)C)NC(=O)C1CCn2c1ccc2C(=O)c1ccccc1,0.5831232370088348,
TR404,CCOC(=O)CCN1CCC(CC1)(N(C(=O)CC)c2ccccc2)C(=O)OC,0.540879102297877,
TR322,NCC1=C(C=C(C=C1)C(=O)NC1=C(F)C=NC=C1)C1=CC(=CC=C1)C(=O)NC1=CC=C(CC(=O)OC2CCC2)C=C1,0.3877199407955062,
